Numero (col C),Debito - Cuenta (col F),Debito - Descripción (col G),AP - Cuenta (col F),AP - Descripción (col G)
5302,7395350100,COMBUSTIBLE Y LUBRICANTES     ,5315200100,RETEFTE ASUMIDA               
5303,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5304,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5305,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5306,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5307,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5308,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5309,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5310,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5311,7395350100,COMBUSTIBLE Y LUBRICANTES     ,5315200100,RETEFTE ASUMIDA               
5312,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5313,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5314,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5315,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5316,5135050000,ASEO Y VIGILANCIA             ,2335950300,SERVICIOS DE ASEO Y VIGILANCIA
5317,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5318,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5319,5140150000,TRAMITES Y LICENCIAS          ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5321,1420451500,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5322,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5323,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5324,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5325,5135350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5326,5195050100,COMISIONES                    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5327,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5328,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,1380950000,OTROS                         
5329,1430102400,RECHAZO                       ,2205050000,MATERIA PRIMA                 
5330,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5331,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5332,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5333,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5334,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5335,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5336,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5337,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5338,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5339,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5340,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5341,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5342,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5343,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5344,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5345,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5346,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5347,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5348,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5349,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5350,7395350200,GAS LICUADO PETROLEO          ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5351,1420501500,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5352,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5353,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5354,5145250000,EQUIPO DE COMPUTACION Y COMUNI,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5355,7205840000,GASTOS MEDICO Y DROGAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5356,5195050100,COMISIONES                    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5357,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5358,5135350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5359,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5360,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5361,7345150000,MAQUINARIA Y EQUIPO           ,1380950000,OTROS                         
5362,5235600000,PROPAGANDA Y PUBLICIDAD       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5363,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5364,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5365,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5367,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5368,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5369,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5370,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5371,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5372,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5373,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5374,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5375,7345150000,MAQUINARIA Y EQUIPO           ,1380950000,OTROS                         
5376,7345150000,MAQUINARIA Y EQUIPO           ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5377,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5378,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5379,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5380,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5381,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5382,1405050100,MATERIAS PRIMAS PARA MAQUINAS ,2205050000,MATERIA PRIMA                 
5383,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5384,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5385,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5386,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5387,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5388,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5389,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5390,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5391,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5392,5105510000,DOTACION Y SUMINISTRO A TRABAJ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5393,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5394,7335100100,SERVICIOS TEMPORALES PARA EL M,2335950500,SERVICIIOS LOGISTICOS Y BODEGA
5395,7335300000,ENERGIA ELECTRICA             ,2335500000,SERVICIOS PUBLICOS            
5396,5135950300,SERVICIOS DE INTERNET         ,2335500000,SERVICIOS PUBLICOS            
5397,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5398,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5399,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5400,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5401,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5402,5195650000,PARQUEADEROS                  ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5403,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5404,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5405,2335970100,COSTOS Y GASTOS SIN FACTURAR  ,2335400000,ARRENDAMIENTOS                
5406,1405050100,MATERIAS PRIMAS PARA MAQUINAS ,2205050000,MATERIA PRIMA                 
5407,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5408,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5409,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5410,1430102400,RECHAZO                       ,2205050000,MATERIA PRIMA                 
5411,1430102400,RECHAZO                       ,2205050000,MATERIA PRIMA                 
5412,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5413,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5414,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5415,7335250000,ACUEDUCTO Y ALCANTARILLADO    ,2335500000,SERVICIOS PUBLICOS            
5416,1405200000,MP SEMILLA                    ,2205050000,MATERIA PRIMA                 
5417,5125100000,AFILIACIONES Y SOSTENIMIENTO  ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5418,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5419,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5420,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5421,5150150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5422,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5423,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5424,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5425,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5426,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5427,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5428,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5429,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5430,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5431,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5432,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5433,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5434,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5435,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5436,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5437,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5438,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5439,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5440,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5441,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5442,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5443,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5444,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5445,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5446,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5447,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5448,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5449,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5450,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5451,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5452,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5453,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5454,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5455,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5456,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5457,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5458,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5459,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5460,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5461,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5462,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5463,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5464,5105510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5465,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5466,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5467,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5468,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5469,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5470,5140150000,TRAMITES Y LICENCIAS          ,2335960100,LEG CM FC                     
5471,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5472,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5473,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5474,5195950300,ACTIVOS DE MENOR CUANTIA      ,2205050000,MATERIA PRIMA                 
5475,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5476,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5477,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5478,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5479,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5480,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5481,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5482,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5483,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5484,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
